id,date,category,status,statement_or_artifact,lean_module_or_file,notes
MLEL-X017,2026-08-03,EXPERIMENTAL_MATH,PROOF-WRITTEN-CI-RECORDED,Faithfully flat descent of ideal containment equality and marked permissibility,PCRLean.Experimental.FaithfullyFlatMarkedCentreDescent,Exact build and audit status stored in V2 machine package
MLEL-X018,2026-08-03,EXPERIMENTAL_MATH,PROOF-WRITTEN-CI-RECORDED,Split retraction boundary quotient and regular stratum certificate,SplitRetractionBoundaryQuotient; SplitRetractionBoundaryCertificate,Regular strata do not imply SNC
MLEL-N006,2026-08-03,NO_GO,PROOF-WRITTEN-CI-RECORDED,Regular quotient and regular intersection do not imply boundary transversality,BoundaryTransversalityGate,Self-intersection of the smooth divisor X is permanent guard
MLEL-X019,2026-08-03,EXPERIMENTAL_MATH,PROOF-WRITTEN-CI-RECORDED,Split retraction kernel is transverse to every pulled-back boundary ideal,SplitRetractionTransversality,First-order conormal no-overlap in graph model
MLEL-X020,2026-08-03,EXPERIMENTAL_MATH,PROOF-WRITTEN-CI-RECORDED,Faithfully flat descent of transversality,FaithfullyFlatTransversalityDescent,Intersection extension is explicit flatness/Tor interface unless discharged by pinned API
MLEL-X021,2026-08-03,EXPERIMENTAL_MATH,PROOF-WRITTEN-CI-RECORDED,Combined graph active boundary and flat-passive local certificates,FaithfullyFlatGraphBoundaryDescent; PolynomialGraphBoundaryFrobeniusCertificate; PassiveTorGate,Does not prove general joint legality
MLEL-X022,2026-08-03,EXPERIMENTAL_MATH,PROOF-WRITTEN-CI-RECORDED,Finite chart-independent exceptional debt identity and bounded ledger,ExceptionalDebtLedger; PolynomialGraphDebtIdentity,Debt key excludes chart and pivot to prevent cloning
MLEL-X023,2026-08-03,EXPERIMENTAL_MATH,PROOF-WRITTEN-CI-RECORDED,Well-founded exceptional debt registration rank,ExceptionalDebtTermination,Geometric classification of all transitions remains open
MLEL-CI-V7,2026-08-03,CI_AUDIT,MACHINE-RECORDED,Independent clean-room build axiom audit and per-module matrix,GradedFrobeniusHeredityKernelIndex; audit,V2 package contains authoritative STATUS RESULT logs and matrix
MLEL-SYNC007,2026-08-03,BASELINE_SYNC,SYNCHRONIZED-EXPERIMENTAL-RECORD,All current conversation outputs checked and stored in MLE–Lean baseline,ResearchRounds/2026-08-03_GFH_PGC_FFMD_V2,Certified Graph unchanged and OPEN_GAP preserved
