id,module,declaration,status,scope,notes
PCRL-GEN-001,GenerationalRank,PCRLean.GenRank.wellFounded,KERNEL_VERIFIED,finite-source rank,"lexicographic N^3 well founded"
PCRL-GEN-002,GenerationalRank,PCRLean.GenStep.noInfinitePath,KERNEL_VERIFIED,certified generation,"no infinite accepted path"
PCRL-ODD-001,OddCusp,PCRLean.OddCusp.sPivotReenters,KERNEL_VERIFIED,exponent ledger,"active chart N to N-1"
PCRL-ODD-002,PolynomialCharts,PCRLean.PolynomialCharts.oddCusp_sPivot_identity,KERNEL_VERIFIED,commutative rings,"exact active chart factorization"
PCRL-ODD-003,PolynomialCharts,PCRLean.PolynomialCharts.oddCusp_yPivot_identity,KERNEL_VERIFIED,commutative rings,"exact sibling unit chart"
PCRL-TAME-001,QuadraticDebt,PCRLean.QuadraticDebt.collisionDebt_recurrence,KERNEL_VERIFIED,tame quadratic,"one debt layer per N to N-2"
PCRL-TAME-002,PolynomialCharts,PCRLean.PolynomialCharts.tameQuadratic_active_identity,KERNEL_VERIFIED,commutative rings,"exact tame active chart"
PCRL-ASQ-001,PolynomialCharts,PCRLean.PolynomialCharts.artinSchreier_active_identity,KERNEL_VERIFIED,commutative rings,"exact (m+1,r+2) to (m,r)"
PCRL-ASQ-002,QuadraticDebt,PCRLean.QuadraticDebt.ASQState.measureDrops,KERNEL_VERIFIED,explicit ASQ chamber,"m+r strictly decreases"
PCRL-FROB-001,FrobeniusPacket,PCRLean.FrobeniusPacket.add_pow_primePower,KERNEL_VERIFIED,ExpChar p,"iterated Frobenius additive"
PCRL-FROB-002,FrobeniusPacket,PCRLean.FrobeniusPacket.cleaning_identity,KERNEL_VERIFIED,ExpChar p,"cleaning has no cross terms"
PCRL-SOURCE-001,SourcePartition,PCRLean.SourcePartition.merge_preserves_disjoint,KERNEL_VERIFIED,finite sources,"union child preserves partition"
PCRL-SOURCE-002,SourcePartition,PCRLean.SourcePartition.no_rank_strict_on_clones,KERNEL_VERIFIED,protocol no-go,"clone self-loop defeats strict rank"
PCRL-AGE-001,NoRecharge,PCRLean.NoRecharge.consumed_remains_consumed,KERNEL_VERIFIED,fixed ancestor ledger,"consumed coupon cannot recharge"
PCRL-AGE-002,NoRecharge,PCRLean.NoRecharge.freshBirthIdentity_injective,KERNEL_VERIFIED,countermodel,"fresh births remain possible"
PCRL-MARK-001,MarkedIdeal,PCRLean.MarkedIdeal.permissible_span_singleton,KERNEL_VERIFIED,affine marked ideals,"actual marked-power gate"
PCRL-MARK-002,CentrePermissibility,PCRLean.CentrePermissibility.artinSchreier_marked_packet_permissible,KERNEL_VERIFIED,binary quadratic centre,"mark-two containment"
PCRL-REES-001,ReesFoundation,PCRLean.ReesFoundation.mem_rees_iff,KERNEL_VERIFIED,affine Rees algebra,"coefficient membership"
PCRL-REES-002,ReesFoundation,PCRLean.ReesFoundation.rees_finiteType_of_noetherian,KERNEL_VERIFIED,Noetherian ring,"finite-type Rees algebra"
PCRL-COMP-001,ResolutionCompiler,PCRLean.ResolutionCompiler.Program.terminal_reachable,KERNEL_VERIFIED,abstract certified programs,"strict rank plus progress gives finite terminal reachability"
PCRL-COMP-002,ConditionalMaster,PCRLean.ConditionalMaster.System.every_input_resolves,CONDITIONAL_KERNEL_VERIFIED,fully certified system,"does not assert universal system existence"
PCRL-HMC-001,HMCSCCD,PCRLean.HMCSCCD.fullPacket_stable_of_split_stable,KERNEL_VERIFIED,finite product passive packet,"separate multiplication and Hasse stability imply full packet stability"
PCRL-HMC-002,HMCSCCD,PCRLean.HMCSCCD.passive_eq_fromRowModule_of_split_stable,KERNEL_VERIFIED,passive Morita descent,"packet-stable block submodule is extension of one row submodule"
PCRL-HMC-003,HMCSCCD,PCRLean.HMCSCCD.exists_active_passive_core,KERNEL_VERIFIED,realized finite Frobenius frame,"active Hasse core and passive Morita row core exist simultaneously"
PCRL-HMC-004,HMCSCCD,PCRLean.HMCSCCD.exists_proper_fg_active_passive_core,KERNEL_VERIFIED,Noetherian base and proper saturation,"proper finitely generated active core plus passive row core"
PCRL-SCCD-001,HMCSCCD,PCRLean.HMCSCCD.causalRankLt_wellFounded,KERNEL_VERIFIED,Noetherian trace times GenRank,"lexicographic causal rank is well founded"
PCRL-SCCD-002,HMCSCCD,PCRLean.HMCSCCD.causalRankStep_wellFounded,KERNEL_VERIFIED,new-trace or source-conservative moves,"accepted causal transition relation is well founded"
PCRL-SCCD-003,HMCSCCD,PCRLean.HMCSCCD.CausalProgram.terminal_reachable,CONDITIONAL_KERNEL_VERIFIED,classified causal programs,"every state reaches terminal under progress and exact step classification"
PCRL-SCCD-004,HMCSCCD,PCRLean.HMCSCCD.CausalProgram.no_infinite_execution,CONDITIONAL_KERNEL_VERIFIED,classified causal programs,"no infinite source-causal execution"
PCRL-SCCD-005,HMCSCCD,PCRLean.HMCSCCD.GatedSystem.every_input_resolves,CONDITIONAL_KERNEL_VERIFIED,fully gated ordinary-centre systems,"geometric system existence remains an explicit hypothesis"
PCRL-SCCD-006,HMCSCCD,PCRLean.HMCSCCD.GatedSystem.every_step_all_gates,CONDITIONAL_KERNEL_VERIFIED,fully gated ordinary-centre systems,"exposes actual ideal regularity owner passive SNC chart overlap reentry and rank certificates"
PCRL-SCCD-007,HMCSCCD,PCRLean.HMCSCCD.GatedSystem.no_infinite_branch,CONDITIONAL_KERNEL_VERIFIED,fully gated ordinary-centre systems,"causal backend forbids infinite branch"
PCRL-RAD-001,EulerRadicial,PCRLean.EulerRadicial.odd_euler_identity,PENDING_CI,char2 odd homogeneous,"Euler coefficient one"
PCRL-RAD-002,RadicialJacobian,PCRLean.RadicialJacobian.jacobianIdeal_square_cleaning,PENDING_CI,char2 Jacobian packet,"square-cleaning invariance"
